playerId,player,team,bye,exp,age,position,dataScrapeId,dstBlk,dstFumlRec,dstInt,dstPtsAllow,dstRetTd,dstSack,dstSafety,dstTd,fg,fg0019,fg2029,fg3039,fg4049,fg50,fgAtt,fgMiss,fumbles,games,idpAst,idpFumlForce,idpFumlRec,idpInt,idpPD,idpSack,idpSolo,idpTFL,idpTd,pass300,pass350,pass40,pass400,passAtt,passComp,passCompPct,passInc,passInt,passTds,passYds,rec,rec100,rec150,rec200,rec40,recTds,recYds,returnTds,returnYds,rush100,rush150,rush200,rush40,rushAtt,rushTds,rushYds,sacks,twoPts,xp
100010,Lions,DET,NA,NA,NA,DST,110,NA,9.400831444,10.77570673,380.031746,NA,29.54421769,0,2.849828802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011,Packers,GB,NA,NA,NA,DST,110,NA,7.934769463,12.87992441,355.7063492,NA,40.30598639,0.51266766,1.929828802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100012,Titans,TEN,NA,NA,NA,DST,110,NA,8.594814815,13.37272865,328.0824641,NA,40.19743008,0,3.174018127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100013,Texans,HOU,NA,NA,NA,DST,110,NA,9.653287982,12.16772487,380.789418,NA,33.29634165,0,2.949969789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100014,Colts,IND,NA,NA,NA,DST,110,NA,9.017944067,12.78228269,373.1595616,NA,41.7846712,0.925931446,3.254038268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100015,Jaguars,JAC,NA,NA,NA,DST,110,NA,9.847195767,10.90054422,404.7074074,NA,39.15560091,0,2.422376636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100016,Chiefs,KC,NA,NA,NA,DST,110,NA,8.724656085,14.31773243,338.4875283,NA,41.72736206,0,3.2812286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100017,Rams,LAR,NA,NA,NA,DST,110,NA,11.09307634,14.40813303,354.9333333,NA,44.9620257,0.48733234,3.371117825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100018,Raiders,LVR,NA,NA,NA,DST,110,NA,8.085314685,11.97292707,400.2392607,NA,29.61598402,0,2.16900149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100019,Dolphins,MIA,NA,NA,NA,DST,110,NA,6.540241875,12.818322,438.5116402,NA,27.18746788,0.24366617,2.498147029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
